楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Hello world!,EXHAUST,13,ULTIMATE CHAIN,S,9915780,2,2,2,0
超恋愛☆エクストリーム・ガール,EXHAUST,15,ULTIMATE CHAIN,S,9960767,15,14,1,0
僕たちは此処にいる,EXHAUST,13,ULTIMATE CHAIN,S,9959959,2,2,1,0
Life is Beautiful,EXHAUST,13,EXCESSIVE COMPLETE,S,9930156,5,5,0,0
Earthquake Super Shock - SDVX Edit. -,NOVICE,4,COMPLETE,AA,9458955,2,2,0,0
Earthquake Super Shock - SDVX Edit. -,ADVANCED,10,COMPLETE,AAA+,9822695,9,9,0,0
Earthquake Super Shock - SDVX Edit. -,EXHAUST,15,EXCESSIVE COMPLETE,S,9916666,68,48,0,0
過食性:アイドル症候群,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9829545,36,31,0,0
過食性:アイドル症候群,INFINITE,17,EXCESSIVE COMPLETE,AAA,9746478,61,33,0,0
ケッペキショウ,EXHAUST,15,EXCESSIVE COMPLETE,S,9901652,15,15,0,0
金縛りの逢を,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9648370,64,16,0,0
金縛りの逢を,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9727189,13,8,0,0
センチメント,EXHAUST,10,ULTIMATE CHAIN,S,9947437,1,1,1,0
Disagree Feelings,EXHAUST,15,ULTIMATE CHAIN,S,9950859,14,12,1,0
MANDARA,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9809081,29,29,0,0
境界インサニティー,EXHAUST,13,EXCESSIVE COMPLETE,S,9924755,4,4,0,0
ナツノメイロ,EXHAUST,14,EXCESSIVE COMPLETE,S,9902789,10,10,0,0
泡沫、哀のまほろば,NOVICE,2,COMPLETE,AAA+,9835820,1,1,0,0
泡沫、哀のまほろば,ADVANCED,8,COMPLETE,AAA+,9866844,8,8,0,0
泡沫、哀のまほろば,EXHAUST,13,ULTIMATE CHAIN,S,9909747,63,55,1,0
究極焼肉レストラン！お燐の地獄亭！,NOVICE,5,PLAYED,B,8202357,1,0,0,0
究極焼肉レストラン！お燐の地獄亭！,ADVANCED,10,COMPLETE,AAA+,9821683,8,8,0,0
究極焼肉レストラン！お燐の地獄亭！,EXHAUST,13,ULTIMATE CHAIN,S,9962192,13,13,1,0
Silent Story,NOVICE,2,COMPLETE,AAA,9757085,2,2,0,0
Silent Story,ADVANCED,8,COMPLETE,AAA,9799426,4,4,0,0
Silent Story,EXHAUST,11,ULTIMATE CHAIN,S,9995269,16,15,2,0
DesireDrive,NOVICE,5,COMPLETE,AA,9407783,2,2,0,0
DesireDrive,ADVANCED,10,COMPLETE,AAA+,9826498,7,7,0,0
DesireDrive,EXHAUST,13,ULTIMATE CHAIN,S,9930313,37,34,3,0
ナイト・オブ・ナイツ,NOVICE,5,COMPLETE,A+,9262711,4,3,0,0
ナイト・オブ・ナイツ,ADVANCED,11,COMPLETE,AAA,9792191,6,6,0,0
ナイト・オブ・ナイツ,EXHAUST,15,ULTIMATE CHAIN,S,9918032,87,82,2,0
ナイト・オブ・ナイツ,INFINITE,17,EXCESSIVE COMPLETE,AA+,9661954,64,31,0,0
-Rayrain-,NOVICE,3,COMPLETE,AAA+,9812500,1,1,0,0
-Rayrain-,ADVANCED,9,COMPLETE,AAA+,9848484,6,6,0,0
-Rayrain-,EXHAUST,12,ULTIMATE CHAIN,S,9994861,33,31,2,0
色は匂へど散りぬるを,NOVICE,2,COMPLETE,AAA+,9877800,1,1,0,0
色は匂へど散りぬるを,ADVANCED,8,ULTIMATE CHAIN,AAA+,9875776,11,10,1,0
色は匂へど散りぬるを,EXHAUST,12,ULTIMATE CHAIN,S,9972222,40,27,1,0
ケロ⑨destiny,NOVICE,4,PLAYED,B,8396946,1,0,0,0
ケロ⑨destiny,ADVANCED,10,COMPLETE,AAA,9795221,12,10,0,0
ケロ⑨destiny,EXHAUST,15,ULTIMATE CHAIN,S,9928263,59,50,2,0
ケロ⑨destiny,HEAVENLY,17,EXCESSIVE COMPLETE,AAA,9735694,13,11,0,0
Help me， ERINNNNNN!!,NOVICE,5,COMPLETE,AAA,9776951,2,2,0,0
Help me， ERINNNNNN!!,ADVANCED,10,COMPLETE,AAA,9778510,5,3,0,0
Help me， ERINNNNNN!!,EXHAUST,13,ULTIMATE CHAIN,S,9973027,37,19,2,0
魔理沙は大変なものを盗んでいきました,ADVANCED,9,COMPLETE,AAA+,9832335,11,10,0,0
魔理沙は大変なものを盗んでいきました,EXHAUST,13,ULTIMATE CHAIN,S,9904643,61,54,1,0
魔理沙は大変なものを盗んでいきました,GRAVITY,18,COMPLETE,AA,9350026,28,11,0,0
物凄い勢いでけーねが物凄いうた,NOVICE,5,COMPLETE,B,8604336,1,1,0,0
物凄い勢いでけーねが物凄いうた,ADVANCED,10,COMPLETE,AAA+,9819034,4,4,0,0
物凄い勢いでけーねが物凄いうた,EXHAUST,15,EXCESSIVE COMPLETE,S,9943651,18,13,0,0
Rot in hell！！,NOVICE,3,COMPLETE,AA+,9695312,1,1,0,0
Rot in hell！！,ADVANCED,8,COMPLETE,AAA+,9808743,13,13,0,0
Rot in hell！！,EXHAUST,13,ULTIMATE CHAIN,S,9966887,28,26,1,0
croiX,EXHAUST,16,EXCESSIVE COMPLETE,AA+,9630738,61,38,0,0
croiX,INFINITE,18,COMPLETE,AA,9446246,36,19,0,0
Gott,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9804605,100,58,0,0
Gott,INFINITE,17,EXCESSIVE COMPLETE,AA+,9656138,72,53,0,0
Dynasty,ADVANCED,12,PLAYED,AAA,9774477,1,0,0,0
Dynasty,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9869505,48,36,0,0
Dynasty,INFINITE,17,EXCESSIVE COMPLETE,AA+,9667560,47,32,0,0
PANIC HOLIC,EXHAUST,16,EXCESSIVE COMPLETE,S,9919816,38,28,0,0
PANIC HOLIC,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9719600,31,20,0,0
Max Burning!!,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9714506,68,42,0,0
Max Burning!!,INFINITE,19,COMPLETE,AA+,9611421,47,16,0,0
Absurd Gaff,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9859550,61,46,0,0
Absurd Gaff,GRAVITY,18,COMPLETE,AA+,9514857,33,20,0,0
EGG,EXHAUST,14,ULTIMATE CHAIN,S,9940769,7,2,1,0
EGG,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9783475,37,36,0,0
éclair au chocolat,EXHAUST,13,ULTIMATE CHAIN,S,9922057,9,3,2,0
éclair au chocolat,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9822349,19,19,0,0
大宇宙ステージ,EXHAUST,17,EXCESSIVE COMPLETE,AA,9456018,30,8,0,0
大宇宙ステージ,GRAVITY,19,COMPLETE,A,8910133,12,1,0,0
TRIGGER★HAPPY,EXHAUST,14,ULTIMATE CHAIN,S,9938917,19,15,2,0
TRIGGER★HAPPY,GRAVITY,16,EXCESSIVE COMPLETE,AAA,9783125,39,36,0,0
VISION,EXHAUST,13,ULTIMATE CHAIN,S,9929519,9,4,3,0
VISION,GRAVITY,16,EXCESSIVE COMPLETE,AAA+,9828462,19,19,0,0
カミサマネジマキ,EXHAUST,15,EXCESSIVE COMPLETE,S,9913265,26,20,0,0
カミサマネジマキ,GRAVITY,17,EXCESSIVE COMPLETE,AA+,9685010,36,33,0,0
ディストピア・ジパング,EXHAUST,13,EXCESSIVE COMPLETE,S,9944889,3,3,0,0
ノイジーラバーソウル,EXHAUST,15,EXCESSIVE COMPLETE,S,9904086,24,23,0,0
V.I.P.,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9707267,50,25,0,0
V.I.P.,HEAVENLY,18,COMPLETE,AA,9468412,6,6,0,0
エスケープ・フロム・ディストピア,EXHAUST,15,EXCESSIVE COMPLETE,S,9926578,14,14,0,0
腐れ外道とチョコレゐト,EXHAUST,14,ULTIMATE CHAIN,S,9900000,20,19,1,0
十面相,EXHAUST,13,ULTIMATE CHAIN,S,9955516,8,8,2,0
人生リセットボタン,EXHAUST,15,EXCESSIVE COMPLETE,S,9907251,10,10,0,0
ルートスフィア,EXHAUST,11,EXCESSIVE COMPLETE,S,9976470,3,1,0,0
Soundscape,EXHAUST,13,EXCESSIVE COMPLETE,S,9947460,6,6,0,0
AA BlackY mix,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9777397,57,42,0,0
AA BlackY mix,INFINITE,17,EXCESSIVE COMPLETE,AA+,9589328,43,32,0,0
Tomorrow Perfume (tpz Despair Remix),EXHAUST,13,ULTIMATE CHAIN,S,9934800,7,5,1,0
pandora (Maozon Remix),EXHAUST,13,EXCESSIVE COMPLETE,S,9958362,2,2,0,0
Freeway Shuffle -More2 HAPPY Re-Mix-,EXHAUST,15,EXCESSIVE COMPLETE,S,9937913,22,21,0,0
Abyss (sharp stepp remix),EXHAUST,13,ULTIMATE CHAIN,S,9906832,6,6,1,0
Tomorrow Perfume (C-Show Remix),EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9822641,23,19,0,0
Blue Rain Dustboxxxx RMX,EXHAUST,14,ULTIMATE CHAIN,S,9944478,8,7,1,0
Ray,EXHAUST,12,ULTIMATE CHAIN,S,9956784,4,2,1,0
Ray,HEAVENLY,16,EXCESSIVE COMPLETE,AAA,9763157,1,1,0,0
rainbow flyer -gratitude remix-,EXHAUST,16,EXCESSIVE COMPLETE,S,9909909,16,13,0,0
明星ロケット,NOVICE,3,COMPLETE,AA,9481865,2,2,0,0
明星ロケット,ADVANCED,8,COMPLETE,AAA+,9851612,13,10,0,0
明星ロケット,EXHAUST,13,EXCESSIVE COMPLETE,S,9924098,38,36,0,0
幻想のサテライト,NOVICE,5,COMPLETE,AA,9332917,2,2,0,0
幻想のサテライト,ADVANCED,11,COMPLETE,AAA+,9835061,23,21,0,0
幻想のサテライト,EXHAUST,16,EXCESSIVE COMPLETE,S,9909778,63,55,0,0
幻想のサテライト,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9757528,18,15,0,0
月に叢雲華に風,NOVICE,5,COMPLETE,AA+,9678961,3,2,0,0
月に叢雲華に風,ADVANCED,9,COMPLETE,AAA,9779487,17,10,0,0
月に叢雲華に風,EXHAUST,13,ULTIMATE CHAIN,S,9995805,31,28,4,0
月に叢雲華に風,INFINITE,15,ULTIMATE CHAIN,S,9959885,23,22,1,0
Runway Drive,ADVANCED,7,COMPLETE,AA+,9524089,6,5,0,0
Runway Drive,EXHAUST,11,PERFECT,S,10000000,13,13,5,1
Grip & Break down !! - SDVX Edit. -,NOVICE,5,COMPLETE,AA+,9668411,3,3,0,0
Grip & Break down !! - SDVX Edit. -,ADVANCED,10,ULTIMATE CHAIN,AAA,9792960,14,13,1,0
Grip & Break down !! - SDVX Edit. -,EXHAUST,15,ULTIMATE CHAIN,S,9906976,74,59,1,0
taboo tears you up 2008,NOVICE,4,COMPLETE,AA+,9577777,3,3,0,0
taboo tears you up 2008,ADVANCED,10,COMPLETE,AAA+,9824780,13,13,0,0
taboo tears you up 2008,EXHAUST,15,EXCESSIVE COMPLETE,S,9912974,35,22,0,0
チルノのパーフェクトさんすう教室,NOVICE,5,COMPLETE,AA,9320486,1,1,0,0
チルノのパーフェクトさんすう教室,ADVANCED,10,COMPLETE,AA+,9640943,13,12,0,0
チルノのパーフェクトさんすう教室,EXHAUST,13,EXCESSIVE COMPLETE,S,9941520,68,54,0,0
チルノのパーフェクトさんすう教室,INFINITE,16,EXCESSIVE COMPLETE,AAA,9792032,52,50,0,0
Bad Apple!! feat. nomico,NOVICE,2,COMPLETE,A,8804627,1,1,0,0
Bad Apple!! feat. nomico,ADVANCED,7,COMPLETE,AAA+,9852507,10,10,0,0
Bad Apple!! feat. nomico,EXHAUST,12,ULTIMATE CHAIN,S,9979550,42,37,3,0
Bad Apple!! feat. nomico,INFINITE,16,EXCESSIVE COMPLETE,S,9908386,20,19,0,0
再教育,EXHAUST,9,ULTIMATE CHAIN,S,9952456,1,1,1,0
dreamin' feat.Ryu☆,EXHAUST,13,ULTIMATE CHAIN,S,9988272,10,8,1,0
Black Board,EXHAUST,12,ULTIMATE CHAIN,S,9988545,1,1,1,0
ポーカーフェイス,EXHAUST,12,ULTIMATE CHAIN,S,9961767,1,1,1,0
イカサマライフゲイム,ADVANCED,10,PLAYED,A+,9197198,3,0,0,0
イカサマライフゲイム,EXHAUST,14,ULTIMATE CHAIN,S,9967811,8,8,4,0
セツナトリップ,EXHAUST,15,ULTIMATE CHAIN,S,9907243,33,26,1,0
セツナトリップ,HEAVENLY,17,EXCESSIVE COMPLETE,AA+,9659666,9,7,0,0
恋愛勇者,EXHAUST,12,ULTIMATE CHAIN,S,9994818,1,1,1,0
六兆年と一夜物語,EXHAUST,14,ULTIMATE CHAIN,S,9933808,12,9,1,0
六兆年と一夜物語,INFINITE,16,EXCESSIVE COMPLETE,AAA+,9818181,25,25,0,0
炉心融解,EXHAUST,11,PERFECT,S,10000000,3,2,1,1
炉心融解,INFINITE,13,ULTIMATE CHAIN,S,9974245,2,2,1,0
Ganymede kamome mix,EXHAUST,17,COMPLETE,AA,9460500,123,31,0,0
Ganymede kamome mix,INFINITE,19,COMPLETE,AA,9492344,90,1,0,0
GAMBOL (dfk SLC rmx),EXHAUST,13,ULTIMATE CHAIN,S,9948320,4,3,1,0
GAMBOL (dfk SLC rmx),INFINITE,16,EXCESSIVE COMPLETE,S,9933196,23,12,0,0
Clione Hommarju Remix,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9855072,1,1,0,0
SEED (DJ Noriken Remix),EXHAUST,13,ULTIMATE CHAIN,S,9951361,2,2,1,0
Distorted Floor,EXHAUST,15,EXCESSIVE COMPLETE,S,9911744,17,8,0,0
Distorted Floor,INFINITE,17,EXCESSIVE COMPLETE,AAA,9779260,34,30,0,0
Fire Strike,EXHAUST,13,ULTIMATE CHAIN,S,9942386,6,5,3,0
Fire Strike,HEAVENLY,17,EXCESSIVE COMPLETE,AA+,9655172,4,4,0,0
freaky freak,EXHAUST,15,ULTIMATE CHAIN,AAA+,9824098,67,46,1,0
freaky freak,GRAVITY,17,EXCESSIVE COMPLETE,AA,9465782,25,21,0,0
World Vertex,EXHAUST,14,EXCESSIVE COMPLETE,S,9916142,6,3,0,0
World Vertex,GRAVITY,16,EXCESSIVE COMPLETE,AAA+,9818224,9,8,0,0
天ノ弱,EXHAUST,13,ULTIMATE CHAIN,S,9968000,25,19,1,0
天ノ弱,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9842355,37,29,0,0
Ignited Night burst,EXHAUST,14,ULTIMATE CHAIN,AAA+,9890009,29,29,1,0
Onigo,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9873453,34,23,0,0
Onigo,HEAVENLY,18,COMPLETE,AA+,9632956,18,14,0,0
caramel ribbon,EXHAUST,13,EXCESSIVE COMPLETE,S,9942965,10,5,0,0
caramel ribbon,INFINITE,16,EXCESSIVE COMPLETE,AAA+,9880617,16,16,0,0
君にエールを・・・！ （DJ UTO REMIX）,EXHAUST,14,ULTIMATE CHAIN,S,9950576,12,12,1,0
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9851632,1,1,0,0
Space Diver Tama,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9863445,30,19,0,0
Space Diver Tama,HEAVENLY,17,EXCESSIVE COMPLETE,AAA,9743668,6,5,0,0
SOUL EXPLOSION,EXHAUST,13,EXCESSIVE COMPLETE,S,9905956,14,12,0,0
.59 -BOOTH BOOST REMIX-,EXHAUST,13,EXCESSIVE COMPLETE,S,9911209,11,6,0,0
Nyan Cat,EXHAUST,13,EXCESSIVE COMPLETE,S,9904063,7,7,0,0
Nyan Cat,INFINITE,16,EXCESSIVE COMPLETE,AAA,9785992,50,50,0,0
香港功夫大旋風,NOVICE,6,PLAYED,B,7759856,1,0,0,0
香港功夫大旋風,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9742721,40,33,0,0
香港功夫大旋風,GRAVITY,17,COMPLETE,AA+,9642683,30,17,0,0
レトロスペクティビリー・メリーゴーランド,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9827437,1,1,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,EXHAUST,15,EXCESSIVE COMPLETE,S,9912280,13,13,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,INFINITE,15,EXCESSIVE COMPLETE,S,9911564,17,17,0,0
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,EXHAUST,15,EXCESSIVE COMPLETE,S,9972656,7,7,0,0
おにゃのこ　きねんび,EXHAUST,13,PERFECT,S,10000000,5,5,0,1
カーニバル,EXHAUST,14,EXCESSIVE COMPLETE,S,9936582,6,5,0,0
キミノメヲ,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9890000,1,1,0,0
春色ポートレート,EXHAUST,7,ULTIMATE CHAIN,S,9902152,2,2,1,0
RPGシンドローム,EXHAUST,13,EXCESSIVE COMPLETE,S,9916000,9,9,0,0
cloud,EXHAUST,12,ULTIMATE CHAIN,S,9935294,6,2,1,0
cloud,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9822006,3,3,0,0
世界はネコのもの,EXHAUST,12,COMPLETE,AAA+,9857142,1,1,0,0
TYCOON,EXHAUST,15,ULTIMATE CHAIN,AAA+,9865350,67,54,1,0
TYCOON,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9855305,28,24,0,0
neu BSP style,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9771095,30,22,0,0
wound,EXHAUST,11,ULTIMATE CHAIN,AAA+,9892776,2,2,2,0
不思議玩具ガンガラディンドン,EXHAUST,14,EXCESSIVE COMPLETE,S,9922330,20,18,0,0
FLOWER REDALiCE Remix,NOVICE,6,COMPLETE,A+,9096958,1,1,0,0
FLOWER REDALiCE Remix,ADVANCED,11,COMPLETE,AA+,9565916,9,6,0,0
FLOWER REDALiCE Remix,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9818317,71,51,0,0
FLOWER REDALiCE Remix,INFINITE,18,COMPLETE,AA+,9554083,57,26,0,0
ヤサイマシ☆ニンニクアブラオオメ,EXHAUST,13,ULTIMATE CHAIN,S,9958915,2,2,2,0
ヤサイマシ☆ニンニクアブラオオメ,INFINITE,16,EXCESSIVE COMPLETE,S,9907975,21,21,0,0
U&M,EXHAUST,8,EXCESSIVE COMPLETE,S,9956834,1,1,0,0
Vampire Killer scar-ed Pf rmx,EXHAUST,12,EXCESSIVE COMPLETE,S,9931350,2,2,0,0
サイコパスコミュニケーション,EXHAUST,10,EXCESSIVE COMPLETE,AAA+,9871668,1,1,0,0
サイコパスコミュニケーション,INFINITE,13,EXCESSIVE COMPLETE,S,9956331,1,1,0,0
Second Heaven Lamaze-REMIX,EXHAUST,13,EXCESSIVE COMPLETE,S,9959422,7,7,0,0
Xepher Light and Darkness Dragon REMIX,ADVANCED,9,COMPLETE,A+,9157175,1,1,0,0
Xepher Light and Darkness Dragon REMIX,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9746345,99,66,0,0
Xepher Light and Darkness Dragon REMIX,GRAVITY,18,COMPLETE,AA+,9544587,51,20,0,0
Diamond Dust Black Diamond Dust,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9858193,2,2,0,0
遠く Dexholic Mix,EXHAUST,11,EXCESSIVE COMPLETE,AA+,9661610,1,1,0,0
冥 Rockin' SWING REMIX,ADVANCED,12,PLAYED,A+,9125412,1,0,0,0
冥 Rockin' SWING REMIX,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9828653,68,49,0,0
冥 Rockin' SWING REMIX,INFINITE,18,EXCESSIVE COMPLETE,AAA,9762976,64,24,0,0
RED ZONE NeoClassical Party Remix,EXHAUST,14,ULTIMATE CHAIN,S,9923208,14,13,1,0
ALBIDA Powerless Mix,EXHAUST,13,EXCESSIVE COMPLETE,S,9912366,27,23,0,0
ALBIDA Powerless Mix,INFINITE,17,EXCESSIVE COMPLETE,AAA,9733379,41,39,0,0
It's over,EXHAUST,10,ULTIMATE CHAIN,S,9926160,4,4,1,0
It's over,INFINITE,13,ULTIMATE CHAIN,S,9988962,19,18,2,0
Iterator,EXHAUST,10,EXCESSIVE COMPLETE,AAA,9775280,1,1,0,0
Evans VolteX Pf arrange,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9811046,19,19,0,0
ガッテンだ!! Novoiski Remix,EXHAUST,11,ULTIMATE CHAIN,AAA+,9894625,1,1,1,0
good high school,EXHAUST,8,ULTIMATE CHAIN,S,9967391,2,1,1,0
good high school,INFINITE,17,EXCESSIVE COMPLETE,AAA,9753605,48,36,0,0
「月風魔伝」龍骨鬼戦 yks Remix,EXHAUST,13,ULTIMATE CHAIN,S,9952061,5,5,1,0
「月風魔伝」龍骨鬼戦 yks Remix,INFINITE,16,EXCESSIVE COMPLETE,S,9925675,22,14,0,0
ごりらがいるんだ,EXHAUST,12,COMPLETE,AAA+,9830942,7,4,0,0
ごりらがいるんだ ～かぼちゃが歌ってみたver～,INFINITE,15,ULTIMATE CHAIN,AAA+,9892116,19,19,1,0
jet coaster☆girl sasakure.UK tRiCkStAr Remix,EXHAUST,9,ULTIMATE CHAIN,S,9921316,3,3,2,0
dilemma,EXHAUST,10,EXCESSIVE COMPLETE,AAA+,9837340,1,1,0,0
SurVALI,EXHAUST,11,EXCESSIVE COMPLETE,AAA+,9809610,1,1,0,0
smooooch・∀・ KN mix,EXHAUST,13,EXCESSIVE COMPLETE,S,9927983,4,4,0,0
とある少年の一日,EXHAUST,12,ULTIMATE CHAIN,S,9926739,3,3,1,0
ナナイロ,INFINITE,13,EXCESSIVE COMPLETE,S,9966542,1,1,0,0
西日暮里の踊り,EXHAUST,12,PERFECT,S,10000000,1,1,0,1
西日暮里の踊り,INFINITE,16,EXCESSIVE COMPLETE,S,9966887,10,9,0,0
Ha･lle･lu･jah,EXHAUST,13,ULTIMATE CHAIN,S,9954128,20,18,1,0
Ha･lle･lu･jah,INFINITE,15,EXCESSIVE COMPLETE,S,9921328,21,21,0,0
バタフライキャット,EXHAUST,12,EXCESSIVE COMPLETE,AAA+,9815515,5,4,0,0
バタフライキャット,INFINITE,16,EXCESSIVE COMPLETE,S,9909977,6,6,0,0
PULSE LASER,EXHAUST,12,EXCESSIVE COMPLETE,AAA,9791878,4,4,0,0
PULSE LASER,INFINITE,16,EXCESSIVE COMPLETE,S,9914163,21,20,0,0
ヒマワリ MUZIK SERVANT Remix,EXHAUST,10,EXCESSIVE COMPLETE,S,9917943,1,1,0,0
ふしぎなくすり いっきのみっくす,EXHAUST,11,COMPLETE,AAA+,9836852,1,1,0,0
Broken 8cmix,EXHAUST,14,ULTIMATE CHAIN,AAA+,9887955,25,24,1,0
Broken 8cmix,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9660023,14,8,0,0
MAX 300 takamatt MIN REMIX,EXHAUST,11,EXCESSIVE COMPLETE,S,9953757,8,8,0,0
Love♡Shine わんだふるmix,EXHAUST,12,ULTIMATE CHAIN,S,9968586,1,1,1,0
Love♡sicK,EXHAUST,11,EXCESSIVE COMPLETE,AAA,9738276,1,1,0,0
Rebellious stage,EXHAUST,10,EXCESSIVE COMPLETE,AAA+,9899328,1,1,0,0
Rebellious stage,INFINITE,13,EXCESSIVE COMPLETE,S,9936823,3,3,0,0
凛として咲く花の如く スプーキィテルミィンミックス,ADVANCED,6,COMPLETE,A+,9103165,3,1,0,0
凛として咲く花の如く スプーキィテルミィンミックス,EXHAUST,9,EXCESSIVE COMPLETE,S,9920701,7,4,0,0
凛として咲く花の如く スプーキィテルミィンミックス,INFINITE,15,EXCESSIVE COMPLETE,S,9922425,14,13,0,0
